Viết tắt Công Ty Lấy Hóa Đơn	TÊN ĐẦY ĐỦ CÔNG TY LẤY HÓA ĐƠN	ĐỊA CHỈ CÔNG TY LẤY HÓA ĐƠN	MST CTY LẤY HÓA ĐƠN
DEGO HOLDING	CÔNG TY TNHH DEGO HOLDING	B19 đường dẫn cầu Cần Thơ, QL1A, Khu dân cư Trung tâm văn hóa Tây Đô, Phường Cái Răng, Thành phố Cần Thơ, Việt Nam.	1801722464
IDA	CÔNG TY TNHH XUẤT NHẬP KHẨU IDA GLOBAL	68 Nguyễn Huệ, Phường Sài Gòn, Thành phố Hồ Chí Minh, Việt Nam	0314562909
ABA	CÔNG TY TNHH SẢN XUẤT HÓA CHẤT ABA	108 Trần Đình Xu, Phường Cầu Ông Lãnh, Thành phố Hồ Chí Minh, Việt Nam	0316342296
ICARE	CÔNG TY TNHH DƯỢC PHẨM ICARE	108 Trần Đình Xu, Phường Cầu Ông Lãnh, Thành phố Hồ Chí Minh, Việt Nam	0315593265
NPP DR.XANH	NHÀ PHÂN PHỐI DR XANH	Số 124, Đường Võ Văn Kiệt, khu vực Bình Trung, Phường Long Hòa, Quận Bình Thủy, TP.Cần Thơ	57B8010406
HỘ KD DR.XANH	HỘ KINH DOANH DR XANH	Ấp Qui Lân 1, Xã Thạnh Quới, Huyện Vĩnh Thạnh, TP Cần Thơ, Việt Nam	57H8005750
BAMBOO	CÔNG TY TNHH XUẤT NHẬP KHẨU SẢN XUẤT THƯƠNG MẠI BAMBOO VIỆT NAM	Tầng 18, Tòa nhà ROX Tower, 180-192 Nguyễn Công Trứ, Phường Bến Thành, Thành phó Hồ Chí Minh, Việt Nam. 	0318629897
N2SBIO	CÔNG TY TNHH N2SBIO VIỆT NAM	108 Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh	0318776965
NN DEGO	CÔNG TY TNHH SẢN XUẤT VÀ XUẤT NHẬP KHẨU HOÁ CHẤT NÔNG NGHIỆP DEGO	Tầng 9, tòa nhà K&M Tower, 33 Ung Văn Khiêm, Phường Thạnh Mỹ Tây, TP Hồ Chí Minh, Việt Nam	0318430011
NN ABA	CÔNG TY TNHH HÓA CHẤT NÔNG NGHIỆP ABA	B18 đường dẫn cầu Cần Thơ, QL1A, Khu dân cư Trung tâm văn hóa Tây Đô, Phường Cái Răng, Thành phố Cần Thơ, Việt Nam.	1801818328
