Tên TK thụ hưởng: 	Số TK thụ hưởng:	Ngân hàng/Chi nhánh: 
CÔNG TY CỔ PHẦN VIỆT MỸ CẦN THƠ	111000293216	Vietcombank - CN Cần Thơ
CÔNG TY TNHH THƯƠNG MẠI HIỀN PHAN LONG AN	1027554287	Ngân hàng Vietcombank
CHI NHÁNH CÔNG TY TNHH SGN MIỀN NAM	37397989	Ngân hàng Techcombank
CÔNG TY TNHH HOÁ SINH NTK	118002908288	Ngân Hàng Vietinbank - CN 4 - PGD Văn Thánh
CÔNG TY TNHH VĨNH NAM ANH	3180355787	Ngân hàng Đầu Tư Và Phát Triển Việt Nam CN Hóc Môn
CÔNG TY TNHH THƯƠNG MẠI HÓA CHẤT NAM BÌNH	80136159	NH TMCP Á Châu ( ACB Bank )
CÔNG TY CỔ PHẦN CÔNG NGHỆ AQUADELTA	1180 0285 2200	Ngân hàng Vietinbank CN Cần Thơ
CÔNG TY TNHH MÁY VÀ HÓA CHẤT TOÀN CẦU	6686333888	Ngân hàng TMCP Quân Đội (MB) Chi nhánh Hòa Lạc
CÔNG TY TNHH NGUYÊN LIỆU NÔNG NGHIỆP MEKONG	209120169	Ngân hàng TMCP Á Châu - CN Sài Gòn
CÔNG TY TNHH THỊNH PHÁT VI NA	60005959201	Ngân Hàng Sacombank
CÔNG TY CỔ PHẦN MẠNH ĐAN	1106 375 56789	Ngân hàng Vietinbank – CN Thủ Đức - PGD Metro
CÔNG TY TNHH VẬT TƯ NÔNG NGHIỆP MIA	1106 349 56789	Ngân hàng Vietinbank
CÔNG TY TNHH VẬT TƯ NÔNG NGHIỆP TRUNG PHONG	1106 372 56789	Ngân hàng Vietinbank – CN Thủ Đức - PGD Metro
CÔNG TY TNHH PHÂN BÓN NIỀM TIN VIỆT	1900 2855 451	Ngân hàng Vietinbank
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN BẢY PHẬN	"799899	"	Ngân hàng MSB
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ HẢI BÌNH	2000 148510 33627	Ngân hàng Xuất Nhập Khẩu Việt Nam - CN TP.HCM
CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU CHÂU NGÂN	2000 148511 64170	Ngân hàng Xuất Nhập Khẩu Việt Nam - CN TP.HCM
CÔNG TY CỔ PHẦN THIẾT BỊ ĐỆ NHẤT	2000 148510 33627	Ngân hàng Xuất Nhập Khẩu Việt Nam - CN TP.HCM
Công ty TNHH King Elong	86698988	Ngân hàng ACB
CÔNG TY TNHH CÂY XANH MỘC LAN	114106222686868	Ngân hàng TMCP Phương Đông
CÔNG TY TNHH SVC CHEMICAL	8386386888	Ngân hàng Thương mại Cổ phần Á Châu
CÔNG TY TNHH  XNK NGÀN HƯƠNG	111000176869	Vietcombank Cần Thơ
DOANH NGHIỆP TƯ NHÂN NHƯ CƯƠNG	119002858391	Ngân Hàng Vietinbank
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NAMSIANG VIỆT NAM	84533169	Ngân Hàng Thương Mại Cổ Phần Á Châu (ACB) - PGD Gò Vấp
 CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NAMSIANG VIỆT NAM	196.68.68.68	Ngân Hàng Quân Đội - MB Bank
CÔNG TY TNHH SẢN XUẤT BAO BÌ ĐÔNG TÂY	161816186868	 Ngân hàng TMCP Á Châu (ACB)
 Công ty TNHH Một Thành Viên TM AN Khánh	18196688	Ngân hàng ACB
 Công ty TNHH Dược Liệu Thiên Nhiên Xanh	77000006	Ngân hàng TMCP Á Châu
CÔNG TY TNHH NAM HÀ	0111000188565	Ngân hàng VCB Cần Thơ
CÔNG TY TNHH IN ẤN KỸ THUẬT MỚI TÂN HOA MAI	0461 000 423 483	Ngân Hàng Vietcombank, chi nhánh Kỳ Đồng
 CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI NGUYỄN BÁ	220214851024743	Ngân hàng Eximbank
 CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI DƯỢC LIỆU KỲ ANH	6503271654	Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam (BIDV) - CN Bình Dương
 CÔNG TY TNHH WAF BRANDS	1052760374	Ngân hàng TMCP Ngoại thương Việt Nam - Vietcombank
CÔNG TY CỔ PHẦN HÓA CHẤT MIỀN NAM	111624019999	Vietinbank - CN Tây Cần Thơ
CÔNG TY TNHH HÓA CHẤT PHÂN BÓN, THUỐC BVTV DUBAI	070055109336	Ngân hàng Sacombank - PGD Tháp Mười
CÔNG TY TNHH SẢN XUẤT BAO BÌ ĐÔNG TÂY	161816186868	Ngân hàng TMCP Á Châu (ACB) - CN Hóc Môn - TP Hồ Chí Minh
