NCC 	NCC (VIẾT TẮT)	ĐỊA CHỈ NCC 	MST NCC
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BAO BÌ CẨM HÙNG	Cẩm Hùng	số 37, đường B11, KDC 91B, Phường Tân An, Thành phố Cần Thơ, Việt Nam	180177824100%
CÔNG TY TNHH SẢN XUẤT BAO BÌ ĐÔNG TÂY	Đông Tây	0827/3 Đường Võ Thị Thừa, Khu phố 3, Phường An Phú Đông, Quận 12, Thành phố Hồ Chí Minh, Việt Nam	0316254811
CÔNG TY TNHH QUẢNG CÁO MỘC ẤN	Mộc Ấn	368/12 Đường TTH21, Khu phố 3, Phường Tân Thới Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam	0312214688
CÔNG TY TNHH SẢN XUẤT- THƯƠNG MẠI- DỊCH VỤ TÂN ĐỨC	Tân Đức	108/8 Đường số 11, Khu phố 5, Phường Linh Xuân, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam	0301909568
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN HỢP TRÍ THÀNH CÔNG	Thành Công	98, đường 3/2, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam	180135601700%
CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI AN TÍN	An Tín	247/16 Đường Bình Tiên, Phường 08, Quận 6, Thành Phố Hồ Chí Minh, Việt Nam	0315259038
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI NHỰA CƯỜNG PHÁT LONG AN	Cường Phát	Ấp Hóc Thơm 1, Xã Hòa Khánh, Tỉnh Tây Ninh, Việt Nam	1101721810
CÔNG TY TNHH BAO BÌ HNS	Hns	084 QL1, KV2, Ba Láng, Cái Răng, Cần Thơ	1801399719
CÔNG TY TNHH MTV SẢN XUẤT THƯƠNG MẠI NHỰA HỒ GIA	Hồ Gia	100/7B khu phố 1, Bùi Dương Lịch, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh	0315743256
CÔNG TY TNHH BAO BÌ MINH NGỌC	Minh Ngọc	Lô D2.1 - D2.2 Đường số 4, KCN Nhị Xuân, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp. HCM	0313694927
CÔNG TY TNHH SX TM DV  QUỐC TẾ QUANG ĐẠT	Quang Đạt	43D, Ao Đôi, P. Bình Trị Đông A, Q. Bình Tân, TP. HCM	0317703989
CÔNG TY CỔ PHẦN BAO BÌ NHỰA THÀNH PHÁT	Thành Phát	F01-1, đường số 1, KCN Hạnh Phúc, ấp 5 Đức Hoà Đông, ĐH, LA	0302299160
CÔNG TY TNHH BAO BÌ NHỰA PHƯƠNG NAM	Phương Nam	384A, Tổ 3, Ấp 1, Xã Mỹ Hạnh, Tỉnh Tây Ninh, Việt Nam	0301515210
CÔNG TY CỔ PHẦN PHL	PHL	Lô MB1-1, Lô MB1-1a, khu công nghiệp Đức Hòa 1, Đường số 5, Ấp 5, Xã Đức Hòa Đông, Huyện Đức Hoà, Tỉnh Long An, Việt Nam	1101392309
CÔNG TY TNHH SẢN XUẤT BAO BÌ VINACO	Vinaco	Lô B10, Đường số 1, KCN Hải Sơn (GĐ 3+4), Xã Đức Hòa Hạ, Huyện Đức Hòa, tỉnh Long An	1101950715
CÔNG TY TNHH SX TM DV HẢI BÌNH	Hải Bình	30 Võ Hoành, Phường Phú Thọ Hoà, Thành phố Hồ Chí Minh, Việt Nam	302202299
CÔNG TY CP HÓA CHẤT MIỀN NAM	Hóa Chất Miền Nam	137B -137C, Trần Hưng Đạo, Phường An Phú, Quận Ninh Kiều, Thành phố Cần Thơ	1800662621
CÔNG TY CP QUÔC TẾ TM GROW	Tmg	Trung tâm dịch vụ khu công nghiệp Amata, đường Amata, KCN Amata, Phường Long Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai	3600630513
CÔNG TY CP ĐẮC KHANG	Đắc Khang	482/10/28A1 Nơ Trang Long, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh	304714687
CÔNG TY TNHH SX TM DV PHÁT ĐẠI LỘC	Phát Đại Lộc	Số 24 Đường Hiệp Thành 48, Phường Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh	317409056
CÔNG TY TNHH THƯƠNG MẠI HIỀN PHAN	Hiền Phan	Số 64 Lê Lăng, Phường Phú Thọ Hoà, Quận Tân Phú, Thành phố Hồ Chí Minh	305877109
CÔNG TY TNHH XNK HÓA CHẤT VẠN AN	Vạn An	208C Nguyễn Ngọc Nhựt, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh	314845752
CÔNG TY TNHH VĨNH NAM ANH	Vĩnh Nam Anh	65/1 Ấp 1, Bùi Công Trừng, Xã Nhị Bình, Huyện Hóc Môn, Thành phố Hồ Chí Minh	304973949
CÔNG TY TNHH KỸ THUẬT AN TOÀN MÔI TRƯỜNG HÒA PHÁT	Hòa Phát	173/53 Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh	312483507
CÔNG TY TNHH NGUYÊN LIỆU NÔNG NGHIỆP MEKONG	Mekong	 Lô Officetel L4-20, tầng 20, Block Lucky, Tòa nhà Richmond City, 207C Nguyễn Xí, Phường Bình Thạnh, TP. Hồ Chí Minh	313587019
CÔNG TY TNHH SX VÀ TM AN GIA PHÚ	An Gia Phú	40/17/9 Đường số 7, Khu phố 12, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh	313155900
CÔNG TY TNHH XNK NGÀN HƯƠNG	Ngàn Hương	133K, Trần Hưng Đạo, Phường An Phú, Quận Ninh Kiều, Thành phố Cần Thơ	1800385992
CÔNG TY CỔ PHẦN MẠNH ĐAN	Mạnh Đan	43 Đường số 5, Cư xá Chu Văn An, Phường 26, Quận Bình Thạnh, Thành phố Hồ Chí Minh	311118396
CÔNG TY TNHH VẬT TƯ NÔNG NGHIỆP TRUNG PHONG	Trung Phong	36/7 Lam Sơn , Phường 6, Quận Bình Thạnh, Thành phố Hồ Chí Minh	314509888
CÔNG TY TNHH SOLUTION JD	Jd	43 đường số 5, cư xá Chu Văn An , Phường 26, Quận Bình Thạnh, Thành phố Hồ Chí Minh	0314465052
CÔNG TY TNHH KING ELONG	Kel	Lô Officetel L5-20, Tầng 20, Block Lucky, Tòa nhà Richmond City, 207C Nguyễn Xí, Phường 26, Quận Bình Thạnh, TP Hồ Chí Minh, Việt Nam	0317197235
CÔNG TY TNHH HOÁ SINH NTK	Ntk	Lô B113, đường số 5, KCN Thái Hoà, Xã Đức Lập Hạ, Huyện Đức Hoà, Tỉnh Long An	1102004566
CÔNG TY TNHH CÂY XANH MỘC LAN	Mộc Lan	Số 112/8/2 Tổ 8, khu phố Tân Cang, phường Phước Tân, TP Biên Hòa, tỉnh Đồng Nai	3603725410
CÔNG TY TNHH THƯƠNG MẠI HÓA CHẤT NAM BÌNH	Nam Bình	4/107, Ấp Nhị Tân 2, Xã Tân Thới Nhì, Huyện Hóc Môn, Thành phố Hồ Chí Minh	0309910935
CÔNG TY TNHH XNK KẾT NÔNG	Kết Nông	119/83 Nguyễn Thị Tần, Phường 2, Quận 8, TP HCM	0315006943
CÔNG TY TNHH HÓA CHẤT MÊ KÔNG	Hóa Chất Mê Kông	74A Đường số 18, Phường 8, Quận Gò Vấp, TP.HCM, Việt Nam	 0304920055
CÔNG TY CỔ PHẦN THIẾT BỊ ĐỆ NHẤT	Đệ Nhất	Tầng 3, Phòng 3.07, khu I, Tòa nhà The Prince Residence, số 19-21 Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam	0310937272
